College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Be'er Yaakov Talmudic Seminary,Be'er Yaakov Talmudic Seminary,12300,12300
Beacon College,Beacon College,49230,49230
Beal University,Beal University,,
Beckfield College-Florence,Beckfield College-Florence,13295,13295
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid,10040,10040
Belhaven University,Belhaven University,29195,29195
Bellarmine University,Bellarmine University,47180,47180
Bellevue College,Bellevue College,4305,10183
Bellevue University,Bellevue University,8886,8886
Bellingham Technical College,Bellingham Technical College,4226,5555
Belmont Abbey College,Belmont Abbey College,19500,19500
Belmont University,Belmont University,41320,41320
Beloit College,Beloit College,58554,58554
Bemidji State University,Bemidji State University,10164,10164
Benedict College,Benedict College,18000,18000
Benedictine College,Benedictine College,34800,34800
Benedictine University,Benedictine University,34290,34290
Benjamin Franklin Cummings Institute of Technology,Benjamin Franklin Cummings Institute of Technology,18906,18906
Bennett College,Bennett College,19140,19140
Bennington College,Bennington College,64644,64644
Bentley University,Bentley University,58150,58150
Berea College,Berea College,49326,49326
Berkeley College-New York,Berkeley College-New York,28600,28600
Berkeley College-Woodland Park,Berkeley College-Woodland Park,28600,28600
Berkeley School of Theology,Berkeley School of Theology,2896,2896
Berklee College of Music,Berklee College of Music,50270,50270
Berry College,Berry College,40416,40416
Bet Medrash Gadol Ateret Torah,Bet Medrash Gadol Ateret Torah,10700,10700
Beth Hamedrash Shaarei Yosher Institute,Beth Hamedrash Shaarei Yosher Institute,12000,12000
Beth Medrash Govoha,Beth Medrash Govoha,,
Beth Medrash Meor Yitzchok,Beth Medrash Meor Yitzchok,12600,12600
Beth Medrash of Asbury Park,Beth Medrash of Asbury Park,12010,12010
Bethany College,Bethany College,31946,31946
Bethany College,Bethany College,31946,31946
Bethany Global University,Bethany Global University,20700,20700
Bethany Lutheran College,Bethany Lutheran College,30010,30010
Bethel College-North Newton,Bethel College-North Newton,34002,34002
