College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Elim Bible Institute and College,Elim Bible Institute and College,10480,10480
Elizabeth City State University,Elizabeth City State University,3412,7412
Elizabethtown College,Elizabethtown College,36842,36842
Elmhurst University,Elmhurst University,41628,41628
Elmira College,Elmira College,37932,37932
Elon University,Elon University,44536,44536
Embry-Riddle Aeronautical University-Daytona Beach,Embry-Riddle Aeronautical University-Daytona Beach,42304,42304
Embry-Riddle Aeronautical University-Prescott,Embry-Riddle Aeronautical University-Prescott,42204,42204
Embry-Riddle Aeronautical University-Worldwide,Embry-Riddle Aeronautical University-Worldwide,11665,11665
Emerson College,Emerson College,55392,55392
Emmanuel College,Emmanuel College,46686,46686
Emmanuel University,Emmanuel University,23664,23664
Emmaus Bible College,Emmaus Bible College,20000,20000
Emory & Henry University,Emory & Henry University,35280,35280
Emory University,Emory University,60774,60774
Empire State University,Empire State University,7630,17540
Emporia State University,Emporia State University,7356,15669
Endicott College,Endicott College,39212,39212
Ensign College,Ensign College,3888,3888
Epic Bible College & Graduate School,Epic Bible College & Graduate School,15072,15072
Erskine College,Erskine College,36710,36710
Escuela de Artes Plasticas y Diseno de Puerto Rico,Escuela de Artes Plasticas y Diseno de Puerto Rico,4902,8502
Eureka College,Eureka College,28400,28400
Evangel University,Evangel University,27192,27192
Evangel University-College of Online Learning,Evangel University-College of Online Learning,8025,8025
Everett Community College,Everett Community College,4301,10180
Everglades University,Everglades University,20768,20768
Excelsior University,Excelsior University,,
FIDM-Fashion Institute of Design & Merchandising,FIDM-Fashion Institute of Design & Merchandising,34325,34325
Fairfield University,Fairfield University,56360,56360
Fairleigh Dickinson University-Florham Campus,Fairleigh Dickinson University-Florham Campus,35822,35822
Fairleigh Dickinson University-Metropolitan Campus,Fairleigh Dickinson University-Metropolitan Campus,35822,35822
Fairmont State University,Fairmont State University,8454,18372
Faith Baptist Bible College and Theological Seminary,Faith Baptist Bible College and Theological Seminary,19530,19530
Faith International University,Faith International University,8850,8850
Faith Theological Seminary and Christian College,Faith Theological Seminary and Christian College,1520,1520
Family of Faith Christian University,Family of Faith Christian University,8220,8220
Farmingdale State College,Farmingdale State College,8576,18486
Fashion Institute of Technology,Fashion Institute of Technology,6170,16750
Faulkner University,Faulkner University,23920,23920
Fayetteville State University,Fayetteville State University,3969,7969
Feather River Community College District,Feather River Community College District,1465,9925
Felician University,Felician University,37830,37830
Ferris State University,Ferris State University,13630,13630
Ferrum College,Ferrum College,38320,38320
Fisher College,Fisher College,35013,35013
Fisk University,Fisk University,24298,24298
Fitchburg State University,Fitchburg State University,11046,17126
Five Towns College,Five Towns College,29950,29950
Flagler College,Flagler College,26610,26610
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,5785,17725
Florida Atlantic University,Florida Atlantic University,4879,17324
Florida College,Florida College,18920,18920
Florida Gateway College,Florida Gateway College,3100,11747
Florida Gulf Coast University,Florida Gulf Coast University,6118,25162
Florida Institute of Technology,Florida Institute of Technology,44360,44360
Florida Institute of Technology-Online,Florida Institute of Technology-Online,12240,12240
Florida International University,Florida International University,6565,18963
Florida Memorial University,Florida Memorial University,19110,19110
Florida National University-Main Campus,Florida National University-Main Campus,16088,16088
Florida Polytechnic University,Florida Polytechnic University,4940,21005
Florida SouthWestern State College,Florida SouthWestern State College,3401,12979
Florida Southern College,Florida Southern College,42360,42360
Florida State College at Jacksonville,Florida State College at Jacksonville,2878,9992
Florida State University,Florida State University,5656,18786
Fond du Lac Tribal and Community College,Fond du Lac Tribal and Community College,5999,5999
Fontbonne University,Fontbonne University,28976,28976
Foothill College,Foothill College,1565,12320
Fordham University,Fordham University,61992,61992
Fort Hays State University,Fort Hays State University,5633,16811
Fort Lewis College,Fort Lewis College,9670,20798
Fort Valley State University,Fort Valley State University,5392,16114
Framingham State University,Framingham State University,11630,17710
Francis Marion University,Francis Marion University,11160,21544
Franciscan Missionaries of Our Lady University,Franciscan Missionaries of Our Lady University,15690,15690
Franciscan University of Steubenville,Franciscan University of Steubenville,32630,32630
Franklin College,Franklin College,37350,37350
Franklin Pierce University,Franklin Pierce University,44963,44963
Franklin University,Franklin University,9577,9577
Franklin W Olin College of Engineering,Franklin W Olin College of Engineering,64458,64458
Franklin and Marshall College,Franklin and Marshall College,68380,68380
Freed-Hardeman University,Freed-Hardeman University,25000,25000
Fremont University,Fremont University,,
Fresno City College,Fresno City College,1334,9454
Fresno Pacific University,Fresno Pacific University,35558,35558
Friends University,Friends University,32748,32748
Front Range Community College,Front Range Community College,4740,16974
Frostburg State University,Frostburg State University,9998,25180
Full Sail University,Full Sail University,26417,26417
Furman University,Furman University,58312,58312
Gallaudet University,Gallaudet University,18382,18382
Galveston College,Galveston College,2546,5726
Gannon University,Gannon University,37951,37951
Gardner-Webb University,Gardner-Webb University,33450,33450
GateWay Community College,GateWay Community College,2358,8958
Geneva College,Geneva College,33610,33610
George Fox University,George Fox University,40940,40940
George Mason University,George Mason University,13815,39397
George Washington University,George Washington University,64990,64990
Georgetown College,Georgetown College,42010,42010
Georgetown University,Georgetown University,65081,65081
Georgia College & State University,Georgia College & State University,8998,28178
Georgia Gwinnett College,Georgia Gwinnett College,4458,13244
Georgia Highlands College,Georgia Highlands College,2944,9296
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus,11764,32876
Georgia Military College,Georgia Military College,8112,8112
Georgia Southern University,Georgia Southern University,5905,16959
Georgia Southwestern State University,Georgia Southwestern State University,4980,15702
Georgia State University,Georgia State University,8478,23709
Georgian Court University,Georgian Court University,37110,37110
Gettysburg College,Gettysburg College,64230,64230
Glendale Community College,Glendale Community College,2358,8958
Glenville State University,Glenville State University,9412,11140
Gnomon,Gnomon,34215,34215
Goddard College,Goddard College,19568,19568
Gods Bible School and College,Gods Bible School and College,7696,7696
Golden Gate University,Golden Gate University,31243,31243
Goldey-Beacom College,Goldey-Beacom College,13440,13440
Gonzaga University,Gonzaga University,53500,53500
Goodwin University,Goodwin University,21198,21198
Gordon College,Gordon College,28100,28100
Gordon State College,Gordon State College,3475,10381
Goshen College,Goshen College,37760,37760
Goucher College,Goucher College,51250,51250
Governors State University,Governors State University,11320,11320
Grace Christian University,Grace Christian University,14992,14992
Grace College and Theological Seminary,Grace College and Theological Seminary,30034,30034
Grace Mission University,Grace Mission University,3480,3480
Grace School of Theology,Grace School of Theology,6760,6760
Graceland University-Lamoni,Graceland University-Lamoni,33220,33220
Grambling State University,Grambling State University,7683,16706
Grand Canyon University,Grand Canyon University,17450,17450
Grand Valley State University,Grand Valley State University,14628,20820
Grand View University,Grand View University,33450,33450
Gratz College,Gratz College,,
Grays Harbor College,Grays Harbor College,4751,10629
Grayson College,Grayson College,2910,5850
Great Basin College,Great Basin College,3855,13448
Great Lakes Christian College,Great Lakes Christian College,19990,19990
Great Northern University,Great Northern University,17700,17700
Green River College,Green River College,4580,5105
Greensboro College,Greensboro College,20400,20400
Greenville Technical College,Greenville Technical College,5639,10657
Greenville University,Greenville University,30598,30598
Grinnell College,Grinnell College,64862,64862
Grove City College,Grove City College,20890,20890
Guam Community College,Guam Community College,3414,4614
Guilford College,Guilford College,41140,41140
Gulf Coast State College,Gulf Coast State College,2370,8635
Gustavus Adolphus College,Gustavus Adolphus College,54310,54310
Gwynedd Mercy University,Gwynedd Mercy University,38310,38310
Hallmark University,Hallmark University,,
Hamilton College,Hamilton College,65740,65740
Hamline University,Hamline University,48311,48311
Hampden-Sydney College,Hampden-Sydney College,52388,52388
Hampshire College,Hampshire College,56630,56630
Hampton University,Hampton University,29162,29162
Hannibal-LaGrange University,Hannibal-LaGrange University,26880,26880
Hanover College,Hanover College,42894,42894
Hardin-Simmons University,Hardin-Simmons University,31686,31686
Harding University,Harding University,24888,24888
Harris-Stowe State University,Harris-Stowe State University,6442,11074
Harrisburg University of Science and Technology,Harrisburg University of Science and Technology,23900,23900
Hartwick College,Hartwick College,52849,52849
Harvard University,Harvard University,59076,59076
Harvey Mudd College,Harvey Mudd College,66255,66255
Haskell Indian Nations University,Haskell Indian Nations University,600,600
Hastings College,Hastings College,36130,36130
Haverford College,Haverford College,68300,68300
Hawaii Pacific University,Hawaii Pacific University,33020,33020
Hebrew Theological College,Hebrew Theological College,14700,14700
Heidelberg University,Heidelberg University,33628,33628
Hellenic College-Holy Cross Greek Orthodox School of Theology,Hellenic College-Holy Cross Greek Orthodox School of Theology,22490,22490
Henderson State University,Henderson State University,7885,9882
Hendrix College,Hendrix College,36650,36650
Henry Ford College,Henry Ford College,3460,7040
Heritage Bible College,Heritage Bible College,8688,8688
Heritage Christian University,Heritage Christian University,11982,11982
Heritage University,Heritage University,19920,19920
Herzing University-Akron,Herzing University-Akron,13420,13420
Herzing University-Atlanta,Herzing University-Atlanta,13420,13420
Herzing University-Birmingham,Herzing University-Birmingham,13420,13420
Herzing University-Brookfield,Herzing University-Brookfield,13420,13420
Herzing University-Kenosha,Herzing University-Kenosha,13420,13420
Herzing University-Madison,Herzing University-Madison,13420,13420
Herzing University-Minneapolis,Herzing University-Minneapolis,13420,13420
Herzing University-New Orleans,Herzing University-New Orleans,13420,13420
Herzing University-Orlando,Herzing University-Orlando,13420,13420
Hesston College,Hesston College,31368,31368
High Point University,High Point University,44208,44208
Highline College,Highline College,4623,5156
Hilbert College,Hilbert College,32150,32150
Hillsborough Community College,Hillsborough Community College,2506,9111
Hillsdale College,Hillsdale College,32092,32092
Hiram College,Hiram College,26265,26265
Hobart William Smith Colleges,Hobart William Smith Colleges,63268,63268
Hobe Sound Bible College,Hobe Sound Bible College,9068,9068
Hodges University,Hodges University,15580,15580
Hofstra University,Hofstra University,55450,55450
Hollins University,Hollins University,42260,42260
Holy Apostles College and Seminary,Holy Apostles College and Seminary,9580,9580
Holy Cross College,Holy Cross College,35500,35500
Holy Family University,Holy Family University,33968,33968
Hood College,Hood College,45870,45870
Hope College,Hope College,40420,40420
Hope International University,Hope International University,36250,36250
Horizon University,Horizon University,9840,9840
Houghton University,Houghton University,17290,17290
Houston Christian University,Houston Christian University,38100,38100
Houston Community College,Houston Community College,2040,5460
Howard Payne University,Howard Payne University,33322,33322
Howard University,Howard University,33344,33344
Huertas College,Huertas College,8520,8520
Hult International Business School,Hult International Business School,54890,54890
Humacao Community College,Humacao Community College,6560,6560
Humphreys University-Stockton and Modesto Campuses,Humphreys University-Stockton and Modesto Campuses,14760,14760
Huntingdon College,Huntingdon College,28650,28650
Huntington University,Huntington University,29982,29982
Huntsville Bible College,Huntsville Bible College,4730,4730
Husson University,Husson University,22194,22194
Huston-Tillotson University,Huston-Tillotson University,14703,14703
Idaho State University,Idaho State University,8356,27466
Ilisagvik College,Ilisagvik College,5260,5260
Illinois College,Illinois College,37470,37470
Illinois Institute of Technology,Illinois Institute of Technology,51763,51763
Illinois State University,Illinois State University,16021,28086
Illinois Wesleyan University,Illinois Wesleyan University,55704,55704
Immaculata University,Immaculata University,28550,28550
Indian Bible College,Indian Bible College,7640,7640
Indian River State College,Indian River State College,2764,10201
Indiana Institute of Technology,Indiana Institute of Technology,30446,30446
Indiana Institute of Technology-College of Professional Studies,Indiana Institute of Technology-College of Professional Studies,9900,9900
Indiana State University,Indiana State University,9992,21734
Indiana University of Pennsylvania-Main Campus,Indiana University of Pennsylvania-Main Campus,11380,16297
Indiana University-Bloomington,Indiana University-Bloomington,11790,40482
Indiana University-East,Indiana University-East,8179,22043
Indiana University-Indianapolis,Indiana University-Indianapolis,10449,33717
Indiana University-Kokomo,Indiana University-Kokomo,8179,22043
Indiana University-Northwest,Indiana University-Northwest,8179,22043
Indiana University-South Bend,Indiana University-South Bend,8179,22043
Indiana University-Southeast,Indiana University-Southeast,8179,22043
Indiana Wesleyan University-Marion,Indiana Wesleyan University-Marion,31168,31168
Indiana Wesleyan University-National & Global,Indiana Wesleyan University-National & Global,8216,8216
Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian and Alaska Native Culture and Arts Development,5801,5801
Inter American University of Puerto Rico-Aguadilla,Inter American University of Puerto Rico-Aguadilla,5542,5542
Inter American University of Puerto Rico-Arecibo,Inter American University of Puerto Rico-Arecibo,5580,5580
Inter American University of Puerto Rico-Barranquitas,Inter American University of Puerto Rico-Barranquitas,5542,5542
Inter American University of Puerto Rico-Bayamon,Inter American University of Puerto Rico-Bayamon,5580,5580
Inter American University of Puerto Rico-Central Office,Inter American University of Puerto Rico-Metro,5580,5580
Inter American University of Puerto Rico-Fajardo,Inter American University of Puerto Rico-Fajardo,5580,5580
Inter American University of Puerto Rico-Guayama,Inter American University of Puerto Rico-Guayama,5580,5580
Inter American University of Puerto Rico-Metro,Inter American University of Puerto Rico-Metro,5580,5580
Inter American University of Puerto Rico-Ponce,Inter American University of Puerto Rico-Ponce,5580,5580
Inter American University of Puerto Rico-San German,Inter American University of Puerto Rico-San German,5580,5580
InterCoast Colleges-West Covina,InterCoast Colleges-West Covina,,
Interior Designers Institute,Interior Designers Institute,20250,20250
International Baptist College and Seminary,International Baptist College and Seminary,13500,13500
Iona University,Iona University,45880,45880
Iowa State University,Iowa State University,10497,27683
Ithaca College,Ithaca College,50510,50510
Jackson College,Jackson College,7040,9795
Jackson State University,Jackson State University,9090,10110
Jacksonville State University,Jacksonville State University,12426,22716
Jacksonville University,Jacksonville University,46180,46180
James A. Rhodes State College,James A. Rhodes State College,4657,9217
James Madison University,James Madison University,13576,30790
Jarvis Christian University,Jarvis Christian University,11720,11720
Jewish Theological Seminary of America,Jewish Theological Seminary of America,65545,65545
John Brown University,John Brown University,30832,30832
John Carroll University,John Carroll University,49100,49100
John Paul the Great Catholic University,John Paul the Great Catholic University,29500,29500
Johns Hopkins University,Johns Hopkins University,63340,63340
Johnson & Wales University-Charlotte,Johnson & Wales University-Charlotte,40408,40408
Johnson & Wales University-Online,Johnson & Wales University-Online,13365,13365
Johnson & Wales University-Providence,Johnson & Wales University-Providence,40408,40408
Johnson C Smith University,Johnson C Smith University,20480,20480
Johnson University,Johnson University,20318,20318
Johnson University Florida,Johnson University Florida,19658,19658
Jose Maria Vargas University,Jose Maria Vargas University,11260,11260
Judson University,Judson University,30910,30910
Juniata College,Juniata College,56402,56402
Justice University,Utica University,24308,24308
Kairos University,Kairos University,,
Kalamazoo College,Kalamazoo College,58764,58764
Kansas Christian College,Kansas Christian College,10950,10950
Kansas City Art Institute,Kansas City Art Institute,43550,43550
Kansas State University,Kansas State University,10942,27816
Kansas Wesleyan University,Kansas Wesleyan University,33470,33470
Kean University,Kean University,13426,21076
Keene State College,Keene State College,14710,26186
Kehilath Yakov Rabbinical Seminary,Kehilath Yakov Rabbinical Seminary,12800,12800
Keiser University-Ft Lauderdale,Keiser University-Ft Lauderdale,24136,24136
Kennesaw State University,Kennesaw State University,5786,17040
Kent State University at Ashtabula,Kent State University at Ashtabula,7272,16744
Kent State University at East Liverpool,Kent State University at East Liverpool,7272,16744
Kent State University at Geauga,Kent State University at Geauga,7272,16744
Kent State University at Kent,Kent State University at Kent,12846,22316
Kent State University at Salem,Kent State University at Salem,7272,16744
Kent State University at Stark,Kent State University at Stark,7272,16744
Kent State University at Trumbull,Kent State University at Trumbull,7272,16744
Kent State University at Tuscarawas,Kent State University at Tuscarawas,7272,16744
Kentucky Christian University,Kentucky Christian University,25000,25000
Kentucky Mountain Bible College,Kentucky Mountain Bible College,10060,10060
Kentucky State University,Kentucky State University,9214,13260
Kentucky Wesleyan College,Kentucky Wesleyan College,33393,33393
Kenyon College,Kenyon College,69330,69330
Keser Torah-Mayan Hatalmud,Keser Torah-Mayan Hatalmud,11060,11060
Kettering University,Kettering University,46380,46380
Keuka College,Keuka College,38000,38000
Keystone College,Keystone College,17850,17850
King University,King University,34800,34800
King's College,King's College,42600,42600
Knox College,Knox College,55587,55587
Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,11230,16434
Kuyper College,Kuyper College,26390,26390
LIM College,LIM College,31950,31950
La Roche University,La Roche University,33120,33120
La Salle University,La Salle University,35570,35570
La Sierra University,La Sierra University,35910,35910
LaGrange College,LaGrange College,34540,34540
Lac Courte Oreilles Ojibwe University,Lac Courte Oreilles Ojibwe University,6030,6030
Lackawanna College,Lackawanna College,17950,17950
Lafayette College,Lafayette College,62574,62574
Laguna College of Art and Design,Laguna College of Art and Design,35650,35650
Lake Erie College,Lake Erie College,36032,36032
Lake Forest College,Lake Forest College,54202,54202
Lake Superior State University,Lake Superior State University,14266,14266
Lake Washington Institute of Technology,Lake Washington Institute of Technology,5156,11017
Lake-Sumter State College,Lake-Sumter State College,3292,13276
Lakeland University,Lakeland University,32286,32286
Lakewood University,Lakewood University,10479,10479
Lamar University,Lamar University,8690,18482
Lancaster Bible College,Lancaster Bible College,29990,29990
Lander University,Lander University,11700,21300
Landmark College,Landmark College,64290,64290
Lane College,Lane College,11790,11790
Lane Community College,Lane Community College,5879,12485
Langston University,Langston University,6728,14255
Laramie County Community College,Laramie County Community College,4613,10913
Laredo College,Laredo College,3300,5748
Larkin University,Clark University,55160,55160
Las Vegas College,Las Vegas College,17684,17684
Lasell University,Lasell University,26000,26000
Latin American Bible Institute,Latin American Bible Institute,12320,12320
Laurus College,Laurus College,,
Lawrence Technological University,Lawrence Technological University,41872,41872
Lawrence University,Lawrence University,55461,55461
Le Moyne College,Le Moyne College,38970,38970
Le Moyne-Owen College,Le Moyne-Owen College,12076,12076
LeTourneau University,LeTourneau University,35500,35500
Lebanon Valley College,Lebanon Valley College,50320,50320
Lee University,Lee University,22690,22690
Lees-McRae College,Lees-McRae College,31140,31140
Lehigh University,Lehigh University,62180,62180
Lenoir-Rhyne University,Lenoir-Rhyne University,30900,30900
Lesley University,Lesley University,32780,32780
Lewis & Clark College,Lewis & Clark College,62350,62350
Lewis University,Lewis University,37882,37882
Lewis-Clark State College,Lewis-Clark State College,7388,21386
Liberty University,Liberty University,21222,21222
Life Pacific University,Life Pacific University,20462,20462
Life University,Life University,15036,15036
Limestone University,Limestone University,27500,27500
Lincoln Christian University,Lincoln Christian University,15400,15400
Lincoln Memorial University,Lincoln Memorial University,26150,26150
Lincoln University,Lincoln University,11420,11420
Lincoln University,Lincoln University,11420,11420
Lincoln University,Lincoln University,11420,11420
Lindenwood University,Lindenwood University,21100,21100
Lindsey Wilson College,Lindsey Wilson College,27274,27274
Linfield University,Linfield University,49530,49530
Lionel University,Lionel University,15288,15288
Lipscomb University,Lipscomb University,38824,38824
Livingstone College,Livingstone College,18296,18296
Logan University,Logan University,9000,9000
Lone Star College System,Lone Star College System,3090,8700
Long Island University,Long Island University,41642,41642
Longwood University,Longwood University,15200,27410
Longy School of Music of Bard College,Longy School of Music of Bard College,52950,52950
Lorain County Community College,Lorain County Community College,4135,8730
Loras College,Loras College,38298,38298
Los Angeles Academy of Figurative Art,Los Angeles Academy of Figurative Art,31618,31618
Los Angeles College of Music,Los Angeles College of Music,25650,25650
Los Angeles Film School,Los Angeles Film School,,
Los Angeles Mission College,Los Angeles Mission College,1238,10130
Los Angeles Pacific University,Los Angeles Pacific University,11976,11976
Los Angeles Valley College,Los Angeles Valley College,1238,10130
Louisiana Christian University,Louisiana Christian University,19740,19740
Louisiana State University and Agricultural & Mechanical College,Louisiana State University and Agricultural & Mechanical College,11954,28631
Louisiana State University-Alexandria,Louisiana State University-Alexandria,7050,14650
Louisiana State University-Shreveport,Louisiana State University-Shreveport,7327,20481
Louisiana Tech University,Louisiana Tech University,10125,16866
Lourdes University,Lourdes University,28930,28930
Lower Columbia College,Lower Columbia College,4346,5633
Loyola Marymount University,Loyola Marymount University,58974,58974
Loyola University Chicago,Loyola University Chicago,51716,51716
Loyola University Maryland,Loyola University Maryland,55480,55480
Loyola University New Orleans,Loyola University New Orleans,47240,47240
Lubbock Christian University,Lubbock Christian University,27298,27298
Luther College,Luther College,50320,50320
Luther Rice College & Seminary,Luther Rice College & Seminary,10538,10538
Lycoming College,Lycoming College,47675,47675
Lynn University,Lynn University,42950,42950
Lyon College,Lyon College,31000,31000
MCPHS University,MCPHS University,38850,38850
Macalester College,Macalester College,64908,64908
Machzikei Hadath Rabbinical College,Machzikei Hadath Rabbinical College,13500,13500
Madison Area Technical College,Madison Area Technical College,4780,7027
Madonna University,Madonna University,27360,27360
Maharishi International University,Maharishi International University,16530,16530
Maine College of Art & Design,Maine College of Art & Design,41398,41398
Maine Maritime Academy,Maine Maritime Academy,14746,30226
Maine Media College,Maine Media College,,
Malone University,Malone University,36120,36120
Manchester University,Manchester University,37090,37090
Manhattan Christian College,Manhattan Christian College,18424,18424
Manhattan School of Music,Manhattan School of Music,54600,54600
Manhattanville University,Manhattanville College,42950,42950
Manna University,Manna University,7163,7163
Manor College,Manor College,19964,19964
Maranatha Baptist University,Maranatha Baptist University,20280,20280
Marian University,Marian University,39100,39100
Marian University,Marian University,39100,39100
Marian University-Ancilla,Marian University-Ancilla,19850,19850
Marietta College,Marietta College,38974,38974
Marion Technical College,Marion Technical College,6475,11065
Marist University,Martin University,12830,12830
Marquette University,Marquette University,48700,48700
Mars Hill University,Mars Hill University,37270,37270
Marshall University,Marshall University,8942,20294
Martin Luther College,Martin Luther College,17770,17770
Martin University,Martin University,12830,12830
Martinsburg College,Martinsburg College,,
Mary Baldwin University,Mary Baldwin University,33157,33157
Maryland Institute College of Art,Maryland Institute College of Art,55150,55150
Marymount Manhattan College,Marymount Manhattan College,40260,40260
Marymount University,Marymount University,39050,39050
Maryville College,Maryville College,38514,38514
Maryville University of Saint Louis,Maryville University of Saint Louis,27166,27166
Marywood University,Marywood University,39570,39570
Massachusetts College of Art and Design,Massachusetts College of Art and Design,14960,42180
Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts,11884,20559
Massachusetts Institute of Technology,Massachusetts Institute of Technology,60156,60156
Massachusetts Maritime Academy,Massachusetts Maritime Academy,10816,23910
Mayville State University,Mayville State University,7935,9564
McDaniel College,McDaniel College,49647,49647
McKendree University,McKendree University,34070,34070
McMurry University,McMurry University,31372,31372
McNeese State University,McNeese State University,8460,9960
McPherson College,McPherson College,35162,35162
Mechon L'hoyroa,Mechon L'hoyroa,11800,11800
Menlo College,Menlo College,51070,51070
Mercer University,Mercer University,40890,40890
Mercy College of Ohio,Mercy College of Ohio,18950,18950
Mercy University,Mercy University,22106,22106
Mercyhurst University,Mercyhurst University,44510,44510
Meredith College,Meredith College,43936,43936
Merrimack College,Merrimack College,51786,51786
Mesa Community College,Mesa Community College,2358,8958
Mesivta Torah Vodaath Rabbinical Seminary,Mesivta Torah Vodaath Rabbinical Seminary,13950,13950
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,10100,10100
Mesivtha Tifereth Jerusalem of America,Mesivtha Tifereth Jerusalem of America,13560,13560
Messenger College,Messenger College,11200,11200
Messiah University,Messiah University,40640,40640
Methodist University,Methodist University,39664,39664
Metropolitan College of New York,Metropolitan College of New York,20188,20188
Metropolitan State University,Metropolitan State University,9780,9780
Metropolitan State University of Denver,Metropolitan State University of Denver,10780,29503
Miami Dade College,Miami Dade College,2838,9661
Miami University-Hamilton,Miami University-Hamilton,7278,18847
Miami University-Middletown,Miami University-Middletown,7278,18847
Miami University-Oxford,Miami University-Oxford,17809,40025
Michigan State University,Michigan State University,15988,43372
Michigan Technological University,Michigan Technological University,18392,41340
Mid-America Christian University,Mid-America Christian University,19896,19896
Mid-Atlantic Christian University,Mid-Atlantic Christian University,17280,17280
Mid-South Christian College,Mid-South Christian College,11905,11905
MidAmerica Nazarene University,MidAmerica Nazarene University,36120,36120
Middle Georgia State University,Middle Georgia State University,4432,14032
Middle Tennessee State University,Middle Tennessee State University,9506,29042
Middlebury College,Middlebury College,65280,65280
Middlebury Institute of International Studies at Monterey,Middlebury Institute of International Studies at Monterey,,
Midland College,Midland College,3030,6030
Midland University,Midland University,40270,40270
Midway University,Midway University,26080,26080
Midwestern Baptist Theological Seminary,Midwestern Baptist Theological Seminary,9400,9400
Midwestern State University,Midwestern State University,10310,12260
Miles College,Miles College,12714,12714
Millennia Atlantic University,Millennia Atlantic University,12978,12978
Miller-Motte College-Chattanooga,Miller-Motte College-Chattanooga,,
Miller-Motte College-Wilmington,Miller-Motte College-Wilmington,,
Millersville University of Pennsylvania,Millersville University of Pennsylvania,12262,16232
Milligan University,Milligan University,39350,39350
Millikin University,Millikin University,26892,43670
Millsaps College,Millsaps College,43815,43815
Milwaukee Institute of Art & Design,Milwaukee Institute of Art & Design,42268,42268
Milwaukee School of Engineering,Milwaukee School of Engineering,48421,48421
Minerva University,Minerva University,18700,18700
Minneapolis College of Art and Design,Minneapolis College of Art and Design,43824,43824
Minnesota State University Moorhead,Minnesota State University Moorhead,10336,10336
Minnesota State University-Mankato,Minnesota State University-Mankato,9490,18860
Minot State University,Minot State University,8634,8634
MiraCosta College,MiraCosta College,1152,9120
Mirrer Yeshiva Cent Institute,Mirrer Yeshiva Cent Institute,12500,12500
Misericordia University,Misericordia University,38370,38370
Mission University,Mission University,16230,16230
Mississippi College,Mississippi College,21698,21698
Mississippi State University,Mississippi State University,9815,26580
Mississippi University for Women,Mississippi University for Women,8092,8092
Mississippi Valley State University,Mississippi Valley State University,7912,7912
Missouri Baptist University,Missouri Baptist University,33122,33122
Missouri Southern State University,Missouri Southern State University,8400,16800
Missouri State University-Springfield,Missouri State University-Springfield,9024,17928
Missouri University of Science and Technology,Missouri University of Science and Technology,14278,31678
Missouri Valley College,Missouri Valley College,23000,23000
Missouri Western State University,Missouri Western State University,9800,17500
Mitchell College,Mitchell College,39050,39050
Modesto Junior College,Modesto Junior College,1270,8870
Monmouth College,Monmouth College,43520,43520
Monmouth University,Monmouth University,44850,44850
Monroe University,Malone University,36120,36120
Montana Bible College,Montana Bible College,13600,13600
Montana State University,Montana State University,8083,31337
Montana State University Billings,Montana State University Billings,6706,21347
Montana State University-Northern,Montana State University-Northern,6269,19385
Montana Technological University,Montana Technological University,8050,24730
Montclair State University,Montclair State University,14766,24126
Montessori Education Center of the Rockies,Montessori Education Center of the Rockies,,
Montreat College,Montreat College,33860,33860
Montserrat College of Art,Montserrat College of Art,39000,39000
Moody Bible Institute,Moody Bible Institute,15356,15356
Moore College of Art and Design,Moore College of Art and Design,50279,50279
Moorpark College,Moorpark College,1416,8179
Moravian University,Moravian University,52000,52000
Morehead State University,Morehead State University,9838,14706
Morehouse College,Morehouse College,31725,31725
Morgan Community College,Morgan Community College,4127,16360
Morgan State University,Morgan State University,8118,18800
Morningside University,Morningside University,38190,38190
Morris Brown College,Morris Brown College,9558,9558
Morris College,Morris College,16224,16224
Mount Aloysius College,Mount Aloysius College,26156,26156
Mount Angel Seminary,Mount Angel Seminary,29694,29694
Mount Holyoke College,Mount Holyoke College,64142,64142
Mount Marty University,Mount Marty University,33100,33100
Mount Mary University,Mount Mary University,34390,34390
Mount Mercy University,Mount Mercy University,39070,39070
Mount Saint Mary College,Mount Saint Mary College,41370,41370
Mount Saint Mary's University,Mount Saint Mary's University,48132,48132
Mount St. Joseph University,Mount St. Joseph University,36650,36650
Mount St. Mary's University,Mount St. Mary's University,47240,47240
Mount Vernon Nazarene University,Mount Vernon Nazarene University,35524,35524
Mt Hood Community College,Mt Hood Community College,5175,9675
Muhlenberg College,Muhlenberg College,60240,60240
Multnomah University,Multnomah University,30310,30310
Murray State College,Murray State College,6630,10830
Murray State University,Murray State University,9708,19452
Musicians Institute,Musicians Institute,28400,28400
Muskingum University,Muskingum University,31440,31440
NUC University,NUC University,8054,9884
Naropa University,Naropa University,34600,34600
National American University-Rapid City,National American University-Rapid City,16065,16065
National Louis University,National Louis University,12345,12345
National University,National University,13320,13320
National University of Health Sciences,National University of Health Sciences,,
NationsUniversity,NationsUniversity,,
Navajo Technical University,Navajo Technical University,4250,4250
