name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Oakwood University,Huntsville,AL,21838.0,21838.0,23384.0,Moderately Selective,0.5051,,,1253,1000035,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Reid State Technical College,Evergreen,AL,6100.0,10700.0,131.0,Moderately Selective,0.5,,,365,1000036,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bishop State Community College,Mobile,AL,5280.0,9090.0,4176.0,Moderately Selective,0.5,,,2100,1000037,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Samford University,Birmingham,AL,38144.0,38144.0,30795.0,Less Selective,0.8223,,,3828,1000038,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Shelton State Community College,Tuscaloosa,AL,5067.0,8877.0,10880.0,Moderately Selective,0.5,,,3191,1000039,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Snead State Community College,Boaz,AL,5472.0,9536.0,6369.0,Moderately Selective,0.5,,,1494,1000040,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of South Alabama,Mobile,AL,9676.0,18652.0,15142.0,Less Selective,0.6548999999999999,,,8540,1000041,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Spring Hill College,Mobile,AL,23270.0,23270.0,19514.0,Moderately Selective,0.591,,,850,1000042,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Stillman College,Tuscaloosa,AL,11392.0,11392.0,12272.0,Less Selective,0.7422,,,761,1000043,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Talladega College,Talladega,AL,15650.0,15650.0,13461.0,Less Selective,0.9925,,,782,1000044,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
H Councill Trenholm State Community College,Montgomery,AL,4890.0,8700.0,5568.0,Moderately Selective,0.5,,,1584,1000045,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Troy University,Troy,AL,9792.0,19584.0,13869.0,Less Selective,0.9261,,,10089,1000046,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Tuskegee University,Tuskegee,AL,23440.0,23440.0,32977.0,Moderately Selective,0.3143,,,2367,1000047,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
United States Sports Academy,Daphne,AL,18900.0,18900.0,,Moderately Selective,0.3529,,,136,1000048,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bevill State Community College,Jasper,AL,4678.0,8234.0,5249.0,Moderately Selective,0.5,,,2189,1000049,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Alaska Anchorage,Anchorage,AK,7566.0,21693.0,13780.0,Less Selective,0.6652,,,6916,1000050,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Alaska Fairbanks,Fairbanks,AK,8640.0,22752.0,9634.0,Moderately Selective,0.5,,,4027,1000051,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Alaska Southeast,Juneau,AK,6960.0,21096.0,7233.0,Less Selective,0.625,,,920,1000052,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Alaska Pacific University,Anchorage,AK,20760.0,20760.0,18976.0,Less Selective,0.8621,,,400,1000053,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Alaska Vocational Technical Center,Seward,AK,9748.0,17062.0,12071.0,Moderately Selective,0.5,,,452,1000054,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Charter College,Anchorage,AK,18678.0,18678.0,25225.0,Moderately Selective,0.5,,,2277,1000055,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Alaska Career College,Anchorage,AK,9748.0,17062.0,18091.0,Moderately Selective,0.5,,,255,1000056,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Carrington College-Phoenix North,Phoenix,AZ,9748.0,17062.0,,Moderately Selective,0.5,,,1087,1000057,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Brookline College-Phoenix,Phoenix,AZ,9748.0,17062.0,,Moderately Selective,0.5,,,714,1000058,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arizona State University Campus Immersion,Tempe,AZ,12051.0,32193.0,13670.0,Less Selective,0.9018999999999999,,,64398,1000059,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arizona Western College,Yuma,AZ,3020.0,9830.0,9582.0,Moderately Selective,0.5,,,6198,1000060,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arizona,Tucson,AZ,13626.0,41095.0,15960.0,Less Selective,0.8565999999999999,,,40769,1000061,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Central Arizona College,Coolidge,AZ,2250.0,4500.0,4591.0,Moderately Selective,0.5,,,4892,1000062,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cochise County Community College District,Sierra Vista,AZ,2232.0,6000.0,7420.0,Moderately Selective,0.5,,,3007,1000063,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
