name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Bryan University,Tempe,AZ,12185.0,12185.0,20948.0,Moderately Selective,0.5,,,2083,1000152,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Butte College,Oroville,CA,1336.0,8416.0,4632.0,Moderately Selective,0.5,,,8384,1000153,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cabrillo College,Aptos,CA,1270.0,9910.0,13328.0,Moderately Selective,0.5,,,7404,1000154,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Baptist University,Riverside,CA,39720.0,39720.0,27384.0,Less Selective,0.7356999999999999,,,7914,1000155,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California College of the Arts,San Francisco,CA,57946.0,57946.0,42168.0,Less Selective,0.7340000000000001,,,1004,1000156,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Institute of Technology,Pasadena,CA,63255.0,63255.0,18902.0,Elite,0.031400000000000004,,,1023,1000157,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Lutheran University,Thousand Oaks,CA,50670.0,50670.0,26433.0,Less Selective,0.8887999999999999,,,2374,1000158,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,11075.0,30995.0,15624.0,Moderately Selective,0.2975,,,21521,1000159,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Alliant International University-San Diego,San Diego,CA,13918.0,13918.0,,Elite,0.0,,,355,1000160,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Bakersfield,Bakersfield,CA,7696.0,19576.0,5825.0,Less Selective,0.8819,,,8183,1000161,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Stanislaus,Turlock,CA,7826.0,19706.0,5671.0,Less Selective,0.9747,,,8564,1000162,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-San Bernardino,San Bernardino,CA,7675.0,19555.0,5918.0,Less Selective,0.9825,,,15771,1000163,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State Polytechnic University-Pomona,Pomona,CA,7439.0,19319.0,11580.0,Less Selective,0.737,,,24271,1000164,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Chico,Chico,CA,8064.0,19944.0,14838.0,Less Selective,0.9372,,,13057,1000165,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Dominguez Hills,Carson,CA,7064.0,18944.0,3659.0,Less Selective,0.9131999999999999,,,12642,1000166,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Fresno,Fresno,CA,6980.0,18860.0,6480.0,Less Selective,0.9638,,,21070,1000167,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Fullerton,Fullerton,CA,7073.0,18953.0,5646.0,Less Selective,0.8674,,,36956,1000168,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-East Bay,Hayward,CA,7055.0,18935.0,11276.0,Less Selective,0.9681000000000001,,,10422,1000169,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Long Beach,Long Beach,CA,7008.0,18888.0,8931.0,Moderately Selective,0.47119999999999995,,,34131,1000170,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Los Angeles,Los Angeles,CA,6813.0,18698.0,4113.0,Less Selective,0.9193000000000001,,,21478,1000171,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Northridge,Northridge,CA,7095.0,18975.0,7599.0,Less Selective,0.9315000000000001,,,32357,1000172,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University-Sacramento,Sacramento,CA,7602.0,19482.0,10512.0,Less Selective,0.9362,,,27867,1000173,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Berkeley,Berkeley,CA,14850.0,45627.0,14979.0,Highly Selective,0.1166,,,33073,1000174,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Davis,Davis,CA,15247.0,46024.0,15288.0,Moderately Selective,0.4163,,,31777,1000175,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Irvine,Irvine,CA,14237.0,45014.0,12840.0,Moderately Selective,0.2557,,,29494,1000176,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Los Angeles,Los Angeles,CA,13747.0,44524.0,14013.0,Elite,0.0873,,,33040,1000177,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Riverside,Riverside,CA,14170.0,44947.0,13707.0,Less Selective,0.633,,,22644,1000178,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-San Diego,La Jolla,CA,15265.0,46042.0,11750.0,Highly Selective,0.2452,,,33787,1000179,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Santa Barbara,Santa Barbara,CA,14965.0,45742.0,13825.0,Moderately Selective,0.2778,,,23205,1000180,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of California-Santa Cruz,Santa Cruz,CA,14560.0,45337.0,16607.0,Less Selective,0.6254,,,17812,1000181,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Hair Design Academy,La Mesa,CA,9748.0,17062.0,40350.0,Moderately Selective,0.5,,,125,1000182,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California Institute of the Arts,Valencia,CA,56724.0,56724.0,47183.0,Moderately Selective,0.2595,,,881,1000183,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State University Maritime Academy,Vallejo,CA,7672.0,19552.0,17555.0,Less Selective,0.9873000000000001,,,761,1000184,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Canada College,Redwood City,CA,1332.0,9508.0,10.0,Moderately Selective,0.5,,,4878,1000185,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
College of the Canyons,Santa Clarita,CA,1176.0,11232.0,2114.0,Moderately Selective,0.5,,,15365,1000186,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Career Academy of Beauty,Garden Grove,CA,9748.0,17062.0,19101.0,Moderately Selective,0.5,,,207,1000187,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Casa Loma College-Los Angeles,Sherman Oaks,CA,9748.0,17062.0,27721.0,Moderately Selective,0.3641,,,581,1000188,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
CET-San Jose,San Jose,CA,9748.0,17062.0,15045.0,Moderately Selective,0.5,,,175,1000189,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cerritos College,Norwalk,CA,1364.0,12004.0,693.0,Moderately Selective,0.5,,,18710,1000190,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cerro Coso Community College,Ridgecrest,CA,1384.0,10264.0,6078.0,Moderately Selective,0.5,,,3496,1000191,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Chabot College,Hayward,CA,1150.0,8686.0,4616.0,Moderately Selective,0.5,,,10861,1000192,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Chaffey College,Rancho Cucamonga,CA,1184.0,11120.0,5743.0,Moderately Selective,0.5,,,13568,1000193,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Chapman University,Orange,CA,62784.0,62784.0,47527.0,Moderately Selective,0.5561,,,7629,1000194,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Charles R Drew University of Medicine and Science,Los Angeles,CA,18933.0,18933.0,27789.0,Moderately Selective,0.38780000000000003,,,233,1000195,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Concordia University-Irvine,Irvine,CA,41390.0,41390.0,28046.0,Moderately Selective,0.5986,,,1456,1000196,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Citrus College,Glendora,CA,1204.0,9844.0,3800.0,Moderately Selective,0.5,,,8126,1000197,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Citrus Heights Beauty College,Citrus Heights,CA,9748.0,17062.0,30408.0,Moderately Selective,0.5,,,110,1000198,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
City College of San Francisco,San Francisco,CA,1696.0,14656.0,7272.0,Moderately Selective,0.5,,,16060,1000199,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Claremont McKenna College,Claremont,CA,64150.0,64150.0,27384.0,Highly Selective,0.1112,,,1379,1000200,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Milan Institute-Visalia,Visalia,CA,9748.0,17062.0,28638.0,Moderately Selective,0.5,,,632,1000201,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Clovis Adult Education,Clovis,CA,9748.0,17062.0,,Moderately Selective,0.5,,,268,1000202,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Coastline Community College,Fountain Valley,CA,1180.0,9964.0,9605.0,Moderately Selective,0.5,,,7007,1000203,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Silicon Valley,San Jose,CA,22480.0,22480.0,30799.0,Moderately Selective,0.5131,,,377,1000204,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Coba Academy,Anaheim,CA,9748.0,17062.0,16761.0,Moderately Selective,0.5,,,100,1000205,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Columbia College,Sonora,CA,1547.0,8870.0,15468.0,Moderately Selective,0.5,,,1917,1000206,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California College of ASU,Los Angeles,CA,26175.0,26175.0,30320.0,Moderately Selective,0.5,,,149,1000207,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Compton College,Compton,CA,1142.0,8822.0,11103.0,Moderately Selective,0.5,,,2881,1000208,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Contra Costa College,San Pablo,CA,1312.0,9012.0,6522.0,Moderately Selective,0.5,,,4805,1000209,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cosumnes River College,Sacramento,CA,1288.0,12808.0,4648.0,Moderately Selective,0.5,,,13527,1000210,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Crafton Hills College,Yucaipa,CA,1188.0,12320.0,10655.0,Moderately Selective,0.5,,,5074,1000211,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cuesta College,San Luis Obispo,CA,1340.0,11000.0,12898.0,Moderately Selective,0.5,,,6879,1000212,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cuyamaca College,El Cajon,CA,1340.0,10636.0,6187.0,Moderately Selective,0.5,,,6788,1000213,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cypress College,Cypress,CA,1150.0,9399.0,4683.0,Moderately Selective,0.5,,,12309,1000214,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
De Anza College,Cupertino,CA,1562.0,12317.0,4667.0,Moderately Selective,0.5,,,14953,1000215,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
International School of Beauty Inc,Palm Desert,CA,9748.0,17062.0,13450.0,Moderately Selective,0.5,,,173,1000216,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
College of the Desert,Palm Desert,CA,1326.0,9586.0,11812.0,Moderately Selective,0.5,,,8900,1000217,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Diablo Valley College,Pleasant Hill,CA,1312.0,9012.0,6142.0,Moderately Selective,0.5,,,14734,1000218,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Dominican University of California,San Rafael,CA,50666.0,50666.0,50218.0,Less Selective,0.9562,,,1178,1000219,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
East Los Angeles College,Monterey Park,CA,1238.0,10130.0,9791.0,Moderately Selective,0.5,,,24401,1000220,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
El Camino Community College District,Torrance,CA,1144.0,7144.0,5170.0,Moderately Selective,0.5,,,18994,1000221,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Evergreen Valley College,San Jose,CA,1366.0,8718.0,12591.0,Moderately Selective,0.5,,,7670,1000222,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,34325.0,34325.0,41493.0,Moderately Selective,0.415,,,1319,1000223,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Feather River Community College District,Quincy,CA,1465.0,9925.0,6520.0,Moderately Selective,0.5,,,1574,1000224,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Federico Beauty Institute,Sacramento,CA,9748.0,17062.0,25736.0,Moderately Selective,0.5,,,245,1000225,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Foothill College,Los Altos Hills,CA,1565.0,12320.0,7549.0,Moderately Selective,0.5,,,10922,1000226,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Fresno City College,Fresno,CA,1334.0,9454.0,1699.0,Moderately Selective,0.5,,,18774,1000227,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Fresno Pacific University,Fresno,CA,35558.0,35558.0,14317.0,Moderately Selective,0.5752,,,1614,1000228,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Fullerton College,Fullerton,CA,1150.0,9399.0,8090.0,Moderately Selective,0.5,,,16637,1000229,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Gavilan College,Gilroy,CA,1506.0,12246.0,2244.0,Moderately Selective,0.5,,,4410,1000230,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Gemological Institute of America-Carlsbad,Carlsbad,CA,9748.0,17062.0,31435.0,Moderately Selective,0.5,,,308,1000231,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Glendale Community College,Glendale,CA,1181.0,8381.0,7461.0,Moderately Selective,0.5,,,9807,1000232,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Glendale Career College,Glendale,CA,9748.0,17062.0,46212.0,Moderately Selective,0.5,,,854,1000233,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Golden Gate University,San Francisco,CA,31243.0,31243.0,,Moderately Selective,0.5,,,550,1000234,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Golden West College,Huntington Beach,CA,1196.0,11084.0,2861.0,Moderately Selective,0.5,,,8919,1000235,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Grossmont College,El Cajon,CA,1332.0,10628.0,2755.0,Moderately Selective,0.5,,,11467,1000236,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Salon Success Academy-Riverside,Riverside,CA,9748.0,17062.0,13095.0,Moderately Selective,0.5,,,173,1000237,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Hartnell College,Salinas,CA,1404.0,8994.0,2895.0,Moderately Selective,0.5,,,7153,1000238,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Harvey Mudd College,Claremont,CA,66255.0,66255.0,32492.0,Highly Selective,0.1306,,,915,1000239,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
California State Polytechnic University-Humboldt,Arcata,CA,7913.0,19793.0,13167.0,Less Selective,0.9883,,,5491,1000240,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,14760.0,14760.0,11410.0,Moderately Selective,0.5,,,178,1000241,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Imperial Valley College,Imperial,CA,1126.0,7990.0,1697.0,Moderately Selective,0.5,,,6881,1000242,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Institute for Business and Technology,Santa Clara,CA,9748.0,17062.0,25471.0,Moderately Selective,0.5,,,609,1000243,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Interior Designers Institute,Newport Beach,CA,20250.0,20250.0,,Moderately Selective,0.5,,,107,1000244,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Irvine Valley College,Irvine,CA,1156.0,10996.0,1886.0,Moderately Selective,0.5,,,9577,1000245,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Bellus Academy-El Cajon,El Cajon,CA,9748.0,17062.0,29547.0,Moderately Selective,0.5,,,205,1000246,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Reedley College,Reedley,CA,1334.0,9454.0,1584.0,Moderately Selective,0.5,,,4853,1000247,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Life Pacific University,San Dimas,CA,20462.0,20462.0,22343.0,Less Selective,0.9395,,,393,1000248,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of La Verne,La Verne,CA,47000.0,47000.0,26925.0,Moderately Selective,0.48479999999999995,,,3341,1000249,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Laguna College of Art and Design,Laguna Beach,CA,35650.0,35650.0,42354.0,Less Selective,0.7761,,,776,1000250,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lake Tahoe Community College,South Lake Tahoe,CA,1131.0,11067.0,10975.0,Moderately Selective,0.5,,,2909,1000251,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lancaster Beauty School,Lancaster,CA,9748.0,17062.0,21235.0,Moderately Selective,0.5,,,131,1000252,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Laney College,Oakland,CA,1148.0,8684.0,15805.0,Moderately Selective,0.5,,,7158,1000253,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lassen Community College,Susanville,CA,1144.0,8224.0,7677.0,Moderately Selective,0.5,,,1564,1000254,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lincoln University,Oakland,CA,11420.0,11420.0,,Moderately Selective,0.5,,,223,1000255,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
La Sierra University,Riverside,CA,35910.0,35910.0,26217.0,Less Selective,0.9329999999999999,,,1155,1000256,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Loma Linda University,Loma Linda,CA,9748.0,17062.0,,Moderately Selective,0.5,,,867,1000257,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Long Beach City College,Long Beach,CA,1556.0,11440.0,5001.0,Moderately Selective,0.5,,,21899,1000258,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Southern California University of Health Sciences,Whittier,CA,10769.0,10769.0,45633.0,Moderately Selective,0.5,,,132,1000259,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Harbor College,Wilmington,CA,1238.0,10050.0,11245.0,Moderately Selective,0.5,,,6496,1000260,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Pierce College,Woodland Hills,CA,1238.0,10130.0,11196.0,Moderately Selective,0.5,,,13029,1000261,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Southwest College,Los Angeles,CA,1238.0,10130.0,6683.0,Moderately Selective,0.5,,,3793,1000262,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Trade Technical College,Los Angeles,CA,1238.0,10130.0,10658.0,Moderately Selective,0.5,,,10165,1000263,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Valley College,Valley Glen,CA,1238.0,10130.0,10200.0,Moderately Selective,0.5,,,12470,1000264,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
The Master's University and Seminary,Santa Clarita,CA,36930.0,36930.0,32121.0,Less Selective,0.7589,,,1606,1000265,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles City College,Los Angeles,CA,1238.0,10130.0,7532.0,Moderately Selective,0.5,,,10857,1000266,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,9748.0,17062.0,,Moderately Selective,0.5,,,220,1000267,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Angeles Mission College,Sylmar,CA,1238.0,10130.0,11972.0,Moderately Selective,0.5,,,8031,1000268,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Los Medanos College,Pittsburg,CA,1312.0,9012.0,5692.0,Moderately Selective,0.5,,,7100,1000269,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Loyola Marymount University,Los Angeles,CA,58974.0,58974.0,45723.0,Moderately Selective,0.4029,,,7171,1000270,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lu Ross Academy,Ventura,CA,9748.0,17062.0,15711.0,Moderately Selective,0.5,,,277,1000271,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lytles Redwood Empire Beauty College,Santa Rosa,CA,9748.0,17062.0,24603.0,Moderately Selective,0.5,,,114,1000272,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
MTI College,Sacramento,CA,9748.0,17062.0,20336.0,Less Selective,0.8193,,,1025,1000273,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
College of Marin,Kentfield,CA,1558.0,10828.0,15517.0,Moderately Selective,0.5,,,3928,1000274,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mendocino College,Ukiah,CA,1423.0,8893.0,7500.0,Moderately Selective,0.5,,,2857,1000275,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Menlo College,Atherton,CA,51070.0,51070.0,27032.0,Less Selective,0.6781,,,811,1000276,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Merced College,Merced,CA,1194.0,8154.0,4260.0,Moderately Selective,0.5,,,9677,1000277,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Merritt College,Oakland,CA,1167.0,8703.0,14742.0,Moderately Selective,0.5,,,5153,1000278,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
MiraCosta College,Oceanside,CA,1152.0,9120.0,7178.0,Moderately Selective,0.5,,,10474,1000279,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mission College,Santa Clara,CA,1438.0,12220.0,5198.0,Moderately Selective,0.5,,,5557,1000280,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Modesto Junior College,Modesto,CA,1270.0,8870.0,10176.0,Moderately Selective,0.5,,,14714,1000281,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Moler Barber College,Oakland,CA,9748.0,17062.0,22135.0,Moderately Selective,0.5,,,335,1000282,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Monterey Peninsula College,Monterey,CA,1188.0,9924.0,13498.0,Moderately Selective,0.5,,,5759,1000283,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Moorpark College,Moorpark,CA,1416.0,8179.0,742.0,Moderately Selective,0.5,,,12011,1000284,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mt San Antonio College,Walnut,CA,1364.0,10212.0,3107.0,Moderately Selective,0.5,,,25311,1000285,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mount Saint Mary's University,Los Angeles,CA,48132.0,48132.0,25009.0,Less Selective,0.6872,,,1746,1000286,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mt San Jacinto Community College District,San Jacinto,CA,1406.0,11276.0,7098.0,Moderately Selective,0.5,,,14859,1000287,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Musicians Institute,Hollywood,CA,28400.0,28400.0,37793.0,Less Selective,0.7129000000000001,,,735,1000288,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Napa Valley College,Napa,CA,1156.0,11908.0,14046.0,Moderately Selective,0.5,,,3205,1000289,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
National Holistic Institute,Emeryville,CA,9748.0,17062.0,29199.0,Moderately Selective,0.5,,,1134,1000290,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
National University,San Diego,CA,13320.0,13320.0,31058.0,Moderately Selective,0.5,,,9725,1000291,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Newschool of Architecture and Design,San Diego,CA,30291.0,30291.0,48616.0,Less Selective,1.0,,,212,1000292,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
North Adrian's College of Beauty Inc,Modesto,CA,9748.0,17062.0,20347.0,Moderately Selective,0.5,,,213,1000293,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
North-West College-Pomona,Pomona,CA,9748.0,17062.0,33256.0,Moderately Selective,0.5,,,315,1000294,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
North-West College-West Covina,West Covina,CA,9748.0,17062.0,28408.0,Moderately Selective,0.5,,,635,1000295,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
North-West College-Van Nuys,Van Nuys,CA,9748.0,17062.0,33464.0,Moderately Selective,0.5,,,225,1000296,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Occidental College,Los Angeles,CA,63446.0,63446.0,39329.0,Moderately Selective,0.39890000000000003,,,1844,1000297,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Ohlone College,Fremont,CA,1202.0,8714.0,14130.0,Moderately Selective,0.5,,,6958,1000298,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Orange Coast College,Costa Mesa,CA,1208.0,9992.0,4754.0,Moderately Selective,0.5,,,16117,1000299,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Otis College of Art and Design,Los Angeles,CA,55513.0,55513.0,45864.0,Less Selective,0.8398,,,1242,1000300,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Oxnard College,Oxnard,CA,1416.0,8179.0,659.0,Moderately Selective,0.5,,,6059,1000301,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Hope International University,Fullerton,CA,36250.0,36250.0,27653.0,Moderately Selective,0.3539,,,549,1000302,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Concorde Career College-San Diego,San Diego,CA,9748.0,17062.0,24477.0,Less Selective,0.9395,,,178,1000303,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pacific Oaks College,Pasadena,CA,33360.0,33360.0,,Elite,0.1,,,346,1000304,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pacific Union College,Angwin,CA,35214.0,35214.0,20979.0,Moderately Selective,0.42479999999999996,,,910,1000305,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of the Pacific,Stockton,CA,55340.0,55340.0,25926.0,Less Selective,0.9486,,,3247,1000306,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Palo Verde College,Blythe,CA,1288.0,12880.0,10543.0,Moderately Selective,0.5,,,2909,1000307,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Palomar College,San Marcos,CA,1354.0,10650.0,5247.0,Moderately Selective,0.5,,,16167,1000308,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pasadena City College,Pasadena,CA,1180.0,10756.0,3123.0,Moderately Selective,0.5,,,20624,1000309,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pepperdine University,Malibu,CA,66742.0,66742.0,45409.0,Moderately Selective,0.4985,,,3629,1000310,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pitzer College,Claremont,CA,62692.0,62692.0,31663.0,Highly Selective,0.1666,,,1191,1000311,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Point Loma Nazarene University,San Diego,CA,43550.0,43550.0,50168.0,Less Selective,0.8176000000000001,,,3132,1000312,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
