name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
Scripps College,Claremont,CA,63434,63434,38802,Selective,33.94,,,1077
College of the Sequoias,Visalia,CA,1394,8338,29,Unknown,,,,10752
Shasta College,Redding,CA,1197,8277,3743,Unknown,,,,5536
Sierra College,Rocklin,CA,1156,9988,4462,Unknown,,,,13455
Sierra College of Beauty,Merced,CA,,,11519,Unknown,,,,245
Simpson University,Redding,CA,38522,38522,27923,Less selective,99.03,,,751
College of the Siskiyous,Weed,CA,1444,9394,7241,Unknown,,,,1080
Skyline College,San Bruno,CA,1332,11384,-1180,Unknown,,,,7132
San Bernardino Valley College,San Bernardino,CA,1185,10017,8234,Unknown,,,,11106
Saint Mary's College of California,Moraga,CA,56134,56134,31198,Less selective,88.58,,,2024
Solano Community College,Fairfield,CA,1172,8900,3869,Unknown,,,,7688
Sonoma State University,Rohnert Park,CA,8190,20070,13801,Less selective,94.73,,,5374
South Coast College,Orange,CA,13409,13409,22480,Unknown,,,,241
Vanguard University of Southern California,Costa Mesa,CA,39950,39950,19761,Somewhat selective,64.7,,,1975
Concorde Career College-Garden Grove,Garden Grove,CA,,,22610,Less selective,95.93,,,202
Southwestern College,Chula Vista,CA,1344,9492,10893,Unknown,,,,16640
Southern California Institute of Architecture,Los Angeles,CA,53564,53564,37535,Less selective,82.67,,,236
University of Southern California,Los Angeles,CA,68237,68237,31927,Very selective,10.02,,,20817
Taft College,Taft,CA,1108,9076,2699,Unknown,,,,3216
Thomas Aquinas College,Santa Paula,CA,28700,28700,25032,Less selective,78.71,,,539
UEI College-Huntington Park,Huntington Park,CA,,,26959,Unknown,,,,1036
Concorde Career College-San Bernardino,San Bernardino,CA,,,23161,Less selective,98.1,,,260
Concorde Career College-North Hollywood,North Hollywood,CA,,,23584,Less selective,99.02,,,143
Ventura College,Ventura,CA,1416,8179,2257,Unknown,,,,9971
Victor Valley College,Victorville,CA,1425,10125,3228,Unknown,,,,12107
Berkeley City College,Berkeley,CA,1148,8684,8957,Unknown,,,,4541
Walden University,Minneapolis,MN,12498,12498,,Unknown,,,,7337
Coalinga College,Coalinga,CA,1384,10084,8626,Unknown,,,,2177
West Los Angeles College,Culver City,CA,1238,10130,7131,Unknown,,,,7277
West Valley College,Saratoga,CA,1490,8702,1842,Unknown,,,,6086
Carrington College-Sacramento,Sacramento,CA,,,37143,Unknown,,,,2262
Westmont College,Santa Barbara,CA,51790,51790,32926,Less selective,79.86,,,1310
Whittier College,Whittier,CA,49864,49864,29871,Less selective,85.38,,,812
Woodbury University,Burbank,CA,44886,44886,28248,Somewhat selective,72.87,,,825
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,16900,16900,12258,Somewhat selective,61.68,,,157
Yuba College,Marysville,CA,1128,8208,3573,Unknown,,,,4311
Adams State University,Alamosa,CO,9776,21848,14173,Unknown,,,,1239
Aims Community College,Greeley,CO,2090,11306,9535,Unknown,,,,3182
Arapahoe Community College,Littleton,CO,4308,16542,10790,Unknown,,,,5392
Bel-Rea Institute of Animal Technology,Denver,CO,13819,13819,24961,Somewhat selective,59.42,,,161
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,10017,28209,19133,Less selective,77.81,,,10686
University of Colorado Colorado Springs,Colorado Springs,CO,9712,20492,16431,Less selective,96.57,,,8870
Spartan College of Aeronautics and Technology,Broomfield,CO,17406,17406,30922,Unknown,,,,321
University of Colorado Boulder,Boulder,CO,16430,41943,21480,Less selective,83.28,,,31578
Colorado Christian University,Lakewood,CO,39266,39266,25458,Unknown,,,,5363
Colorado College,Colorado Springs,CO,67932,67932,31678,Very selective,20.03,,,2139
Concorde Career College-Aurora,Aurora,CO,,,16547,Less selective,100.0,,,196
Colorado Mountain College,Glenwood Springs,CO,2700,12540,6342,Unknown,,,,2821
Colorado Northwestern Community College,Rangely,CO,4454,7084,12316,Unknown,,,,500
Colorado School of Mines,Golden,CO,21186,44376,29240,Somewhat selective,59.71,,,5801
Colorado School of Trades,Lakewood,CO,,,22635,Less selective,76.92,,,108
Colorado State University-Fort Collins,Fort Collins,CO,12896,33751,20332,Less selective,89.59,,,25148
Colorado Technical University-Colorado Springs,Colorado Springs,CO,12760,12760,14954,Unknown,,,,25932
Community College of Aurora,Aurora,CO,4030,15680,7466,Unknown,,,,3346
Technical College of the Rockies,Delta,CO,,,3790,Unknown,,,,142
Community College of Denver,Denver,CO,4902,17136,9431,Unknown,,,,5156
University of Denver,Denver,CO,59340,59340,36037,Somewhat selective,71.19,,,6059
Emily Griffith Technical College,Denver,CO,,,7003,Unknown,,,,5914
Fort Lewis College,Durango,CO,9670,20798,17339,Less selective,93.2,,,3070
Front Range Community College,Westminster,CO,4740,16974,10854,Unknown,,,,11132
International Salon and Spa Academy,Colorado Springs,CO,,,20904,Unknown,,,,307
Lamar Community College,Lamar,CO,4422,7052,10328,Unknown,,,,406
Colorado Mesa University,Grand Junction,CO,9712,24312,15331,Less selective,81.39,,,7604
Metropolitan State University of Denver,Denver,CO,10780,29503,14294,Less selective,99.14,,,14932
Morgan Community College,Fort  Morgan,CO,4127,16360,7161,Unknown,,,,619
Naropa University,Boulder,CO,34600,34600,28862,Less selective,94.0,,,368
Nazarene Bible College,Colorado Springs,CO,10002,10002,,Unknown,,,,336
Northeastern Junior College,Sterling,CO,5582,8045,13224,Unknown,,,,825
University of Northern Colorado,Greeley,CO,12010,26204,18457,Less selective,86.43,,,5693
Otero College,La Junta,CO,4418,7048,11329,Unknown,,,,642
Pikes Peak State College,Colorado Springs,CO,4302,16534,9682,Unknown,,,,9307
Pueblo Community College,Pueblo,CO,4883,17116,11063,Unknown,,,,3293
Red Rocks Community College,Lakewood,CO,4707,16947,9356,Unknown,,,,4281
Regis University,Denver,CO,43980,43980,22689,Less selective,87.27,,,2599
Rocky Mountain College of Art and Design,Lakewood,CO,23720,23720,28037,Unknown,,,,1878
Colorado State University Pueblo,Pueblo,CO,9401,17242,12948,Less selective,99.84,,,3028
Pickens Technical College,Aurora,CO,4930,8330,7055,Unknown,,,,646
Intellitec College-Colorado Springs,Colorado Springs,CO,,,22051,Unknown,,,,816
Intellitec College-Grand Junction,Grand Junction,CO,,,16656,Unknown,,,,1160
Trinidad State College,Trinidad,CO,4468,7100,11197,Unknown,,,,1168
United States Air Force Academy,USAF Academy,CO,,,,Very selective,13.93,,,4124
Western Colorado University,Gunnison,CO,11083,23683,16773,Less selective,97.47,,,1653
Albertus Magnus College,New Haven,CT,39924,39924,32681,Somewhat selective,64.37,,,882
University of Bridgeport,Bridgeport,CT,35760,35760,24786,Somewhat selective,64.31,,,1450
Central Connecticut State University,New Britain,CT,12460,25736,16435,Less selective,75.53,,,7670
Charter Oak State College,New Britain,CT,8506,8506,15663,Unknown,,,,1620
Cortiva Institute,Cromwell,CT,,,34368,Unknown,,,,220
Connecticut College,New London,CT,64812,64812,33998,Selective,38.28,,,1960
Porter & Chester Institute of Hamden,Hamden,CT,14337,14337,19011,Unknown,,,,333
University of Connecticut,Storrs,CT,20366,43034,22886,Somewhat selective,53.95,,,19147
Goodwin University,East Hartford,CT,21198,21198,28544,Unknown,,,,2761
Eastern Connecticut State University,Willimantic,CT,13292,16624,20480,Less selective,80.55,,,3377
Fairfield University,Fairfield,CT,56360,56360,46274,Selective,44.98,,,4938
Paul Mitchell the School-North Haven,North Haven,CT,,,13534,Unknown,,,,191
Connecticut State Community College,Hartford,CT,5092,14840,8865,Unknown,,,,32292
American Institute-West Hartford,West Hartford,CT,,,18110,Unknown,,,,396
University of Hartford,West Hartford,CT,47647,47647,29558,Less selective,83.01,,,4032
Holy Apostles College and Seminary,Cromwell,CT,9580,9580,16073,Unknown,,,,203
Mitchell College,New London,CT,39050,39050,30841,Somewhat selective,73.36,,,421
Lincoln Technical Institute-New Britain,New Britain,CT,,,30180,Unknown,,,,783
New England Tractor Trailer Training School of Connecticut,Somers,CT,,,15448,Unknown,,,,293
University of New Haven,West Haven,CT,45730,45730,34089,Less selective,80.55,,,4799
Paier College,Bridgeport,CT,26400,26400,30982,Somewhat selective,61.54,,,183
Porter & Chester Institute,Bridgeport,CT,14349,14349,17332,Unknown,,,,1405
Post University,Waterbury,CT,17100,17100,19196,Unknown,,,,18975
Quinnipiac University,Hamden,CT,53090,53090,39207,Less selective,77.0,,,6208
Sacred Heart University,Fairfield,CT,48460,48460,45459,Somewhat selective,67.68,,,6904
University of Saint Joseph,West Hartford,CT,45908,45908,27375,Less selective,79.64,,,825
Southern Connecticut State University,New Haven,CT,12828,26104,20877,Less selective,81.12,,,6180
Trinity College,Hartford,CT,67420,67420,35009,Selective,33.52,,,2193
United States Coast Guard Academy,New London,CT,,,,Very selective,24.32,,,1081
Wesleyan University,Middletown,CT,67316,67316,27888,Very selective,17.1,,,2973
Western Connecticut State University,Danbury,CT,12763,16095,18617,Less selective,81.36,,,3434
Yale University,New Haven,CT,64700,64700,27818,Extremely selective,4.5,,,6811
Dawn Career Institute LLC,Newark,DE,,,15731,Unknown,,,,385
Delaware Technical Community College-Terry,Dover,DE,4965,11828,8033,Unknown,,,,11012
Delaware State University,Dover,DE,10314,20250,15745,Somewhat selective,61.67,,,4630
University of Delaware,Newark,DE,16080,39720,16931,Somewhat selective,65.11,,,18812
Goldey-Beacom College,Wilmington,DE,13440,13440,16957,Less selective,76.53,,,634
Schilling-Douglas School of Hair Design,Newark,DE,,,15105,Unknown,,,,166
Wilmington University,New Castle,DE,12330,12330,15355,Unknown,,,,8497
American University,Washington,DC,56543,56543,41945,Selective,47.38,,,7593
The Catholic University of America,Washington,DC,55834,55834,32798,Less selective,83.84,,,3063
University of the District of Columbia,Washington,DC,6152,13004,14693,Unknown,,,,3080
Gallaudet University,Washington,DC,18382,18382,14085,Somewhat selective,60.94,,,879
George Washington University,Washington,DC,64990,64990,37454,Selective,43.54,,,10848
Georgetown University,Washington,DC,65081,65081,39433,Very selective,13.08,,,7462
Howard University,Washington,DC,33344,33344,47919,Selective,34.89,,,9604
Strayer University-District of Columbia,Washington,DC,13920,13920,,Unknown,,,,309
Trinity Washington University,Washington,DC,26110,26110,12233,Less selective,99.19,,,1415
Atlantic Technical College,Coconut Creek,FL,,,13018,Unknown,,,,2672
Baptist University of Florida,Graceville,FL,13800,13800,8829,Somewhat selective,64.1,,,248
Barry University,Miami,FL,33450,33450,22978,Somewhat selective,59.07,,,2245
Bethune-Cookman University,Daytona Beach,FL,14794,14794,14892,Less selective,99.85,,,2414
Lynn University,Boca Raton,FL,42950,42950,38222,Somewhat selective,73.95,,,2820
Eastern Florida State College,Melbourne,FL,2496,9739,5939,Unknown,,,,10162
Broward College,Fort Lauderdale,FL,2830,8952,20077,Unknown,,,,23799
College of Central Florida,Ocala,FL,2710,10517,12310,Unknown,,,,4717
University of Central Florida,Orlando,FL,6368,22467,10650,Selective,39.52,,,59095
Charlotte Technical College,Port Charlotte,FL,3100,12100,10076,Unknown,,,,295
Chipola College,Marianna,FL,3120,8950,832,Unknown,,,,1218
Lorenzo Walker Technical College,Naples,FL,,,12241,Unknown,,,,767
Daytona State College,Daytona Beach,FL,3106,11994,7201,Unknown,,,,9367
Eckerd College,Saint Petersburg,FL,50374,50374,33011,Less selective,78.69,,,1984
Florida SouthWestern State College,Fort Myers,FL,3401,12979,8249,Unknown,,,,10613
Edward Waters University,Jacksonville,FL,14878,14878,13580,Less selective,84.81,,,1113
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,42304,42304,40289,Somewhat selective,66.28,,,7535
Florida Agricultural and Mechanical University,Tallahassee,FL,5785,17725,15847,Very selective,21.12,,,7516
Florida Atlantic University,Boca Raton,FL,4879,17324,8001,Somewhat selective,73.44,,,23458
Florida State College at Jacksonville,Jacksonville,FL,2878,9992,2760,Unknown,,,,17739
Flagler College,Saint Augustine,FL,26610,26610,29951,Less selective,78.09,,,2404
Florida College,Temple Terrace,FL,18920,18920,22527,Somewhat selective,66.45,,,589
Concorde Career Institute-Jacksonville,Jacksonville,FL,,,27104,Less selective,96.47,,,140
Concorde Career Institute-Miramar,Miramar,FL,,,25614,Less selective,99.06,,,137
Concorde Career Institute-Tampa,Tampa,FL,,,24449,Less selective,98.54,,,132
AdventHealth University,Orlando,FL,20880,20880,31885,Unknown,,,,1068
Florida Institute of Technology,Melbourne,FL,44360,44360,35300,Somewhat selective,62.53,,,3235
Florida International University,Miami,FL,6565,18963,9133,Somewhat selective,58.84,,,38761
The College of the Florida Keys,Key West,FL,3279,13162,13818,Unknown,,,,823
Florida Memorial University,Miami Gardens,FL,19110,19110,18675,Somewhat selective,74.31,,,1299
Florida Career College-Miami,Miami,FL,,,34275,Unknown,,,,130
Florida Southern College,Lakeland,FL,42360,42360,29664,Somewhat selective,59.07,,,2607
Florida State University,Tallahassee,FL,5656,18786,10997,Selective,25.38,,,31812
University of Florida,Gainesville,FL,6381,28659,6351,Very selective,24.03,,,34102
Full Sail University,Winter Park,FL,26417,26417,31759,Unknown,,,,25195
George Stone Technical College,Pensacola,FL,,,9098,Unknown,,,,566
George T Baker Aviation Technical College,Miami,FL,,,6984,Unknown,,,,922
Gulf Coast State College,Panama City,FL,2370,8635,2339,Unknown,,,,3614
Hillsborough Community College,Tampa,FL,2506,9111,4929,Unknown,,,,19998
Hobe Sound Bible College,Hobe Sound,FL,9068,9068,10888,Unknown,,,,125
Hollywood Institute of Beauty Careers,Hollywood,FL,,,18597,Unknown,,,,286
Cortiva Institute,St. Petersburg,FL,,,26629,Unknown,,,,138
Indian River State College,Fort Pierce,FL,2764,10201,5202,Unknown,,,,11571
International Academy,South Daytona,FL,,,19071,Unknown,,,,191
Jacksonville University,Jacksonville,FL,46180,46180,26255,Somewhat selective,57.29,,,2649
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,24136,24136,34439,Less selective,97.42,,,17370
La Belle Beauty School,Hialeah,FL,,,12731,Unknown,,,,239
Florida Gateway College,Lake City,FL,3100,11747,2915,Unknown,,,,2231
Lake Technical College,Eustis,FL,,,14597,Unknown,,,,738
Lake-Sumter State College,Leesburg,FL,3292,13276,5742,Unknown,,,,3572
Fort Myers Technical College,Fort Myers,FL,,,14072,Unknown,,,,668
Lively Technical College,Tallahassee,FL,,,7225,Unknown,,,,785
Lindsey Hopkins Technical College,Miami,FL,,,6900,Unknown,,,,388
Luther Rice College & Seminary,Lithonia,GA,10538,10538,3935,Selective,34.29,,,195
State College of Florida-Manatee-Sarasota,Bradenton,FL,3074,11595,21433,Unknown,,,,7161
Manatee Technical College,Bradenton,FL,,,7591,Unknown,,,,1117
Traviss Technical College,Lakeland,FL,,,,Unknown,,,,336
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,,,98,Unknown,,,,730
Miami Dade College,Miami,FL,2838,9661,5929,Unknown,,,,35001
University of Miami,Coral Gables,FL,59926,59926,36803,Very selective,18.51,,,12570
Orange Technical College-South Campus,Orlando,FL,,,,Unknown,,,,1157
Paul Mitchell the School-Jacksonville,Jacksonville,FL,,,21529,Unknown,,,,117
North Florida College,Madison,FL,3054,11400,1799,Unknown,,,,817
University of North Florida,Jacksonville,FL,6389,20793,10353,Somewhat selective,62.27,,,13915
Nova Southeastern University,Fort Lauderdale,FL,37080,37080,31303,Somewhat selective,72.67,,,7171
Northwest Florida State College,Niceville,FL,3246,11625,5554,Unknown,,,,3193
Orange Technical College,Orlando,FL,,,7826,Unknown,,,,189
Palm Beach Atlantic University,West Palm Beach,FL,37990,37990,32751,Less selective,88.32,,,2427
Palm Beach State College,Lake Worth,FL,3050,10910,9832,Unknown,,,,20532
Pasco-Hernando State College,New Port Richey,FL,3155,12032,5154,Unknown,,,,6933
Pensacola State College,Pensacola,FL,2348,9407,2254,Unknown,,,,6725
Pinellas Technical College-Clearwater,Clearwater,FL,,,12103,Unknown,,,,730
Polk State College,Winter Haven,FL,3366,12272,9027,Unknown,,,,5954
Radford M Locklin Technical College,Milton,FL,,,5888,Unknown,,,,235
Ridge Technical College,Winter Haven,FL,3918,10398,22547,Unknown,,,,375
Ringling College of Art and Design,Sarasota,FL,55480,55480,55390,Somewhat selective,67.37,,,1719
Robert Morgan Educational Center and Technical College,Miami,FL,,,12702,Unknown,,,,868
Rollins College,Winter Park,FL,58300,58300,33847,Selective,40.56,,,2582
First Coast Technical College,Saint Augustine,FL,,,9538,Unknown,,,,369
Saint Leo University,Saint Leo,FL,28360,28360,18467,Somewhat selective,72.1,,,6999
St Petersburg College,St. Petersburg,FL,2682,9286,-52,Unknown,,,,18759
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,,,17981,Unknown,,,,1421
Santa Fe College,Gainesville,FL,2563,9189,11154,Unknown,,,,11133
Suncoast Technical College,Sarasota,FL,,,17430,Unknown,,,,1102
Seminole State College of Florida,Sanford,FL,3227,11447,3119,Unknown,,,,11790
Sheridan Technical College,Hollywood,FL,,,8663,Unknown,,,,1245
Saint Johns River State College,Palatka,FL,2830,10352,5808,Unknown,,,,3909
South Florida State College,Avon Park,FL,3165,11859,4443,Unknown,,,,2084
University of South Florida,Tampa,FL,6410,17324,10043,Selective,40.96,,,36299
St. Thomas University,Miami Gardens,FL,34770,34770,24275,Less selective,99.4,,,1963
Stetson University,DeLand,FL,55220,55220,21318,Less selective,86.43,,,2292
Southeastern University,Lakeland,FL,31732,31732,30209,Somewhat selective,74.29,,,4646
Bene's Career Academy,New Port Richey,FL,,,22360,Unknown,,,,288
Riveroak Technical College,Live Oak,FL,,,8836,Unknown,,,,241
Tallahassee Community College,Tallahassee,FL,2026,8062,8478,Unknown,,,,10357
The University of Tampa,Tampa,FL,33424,33424,35634,Selective,40.93,,,10093
Big Bend Technical College,Perry,FL,,,12558,Unknown,,,,160
Tom P. Haney Technical College,Panama City,FL,,,5182,Unknown,,,,432
Trinity Baptist College,Jacksonville,FL,14300,14300,19273,Somewhat selective,62.5,,,363
Trinity College of Florida,Trinity,FL,16300,16300,21283,Less selective,96.3,,,187
Valencia College,Orlando,FL,2474,9383,10399,Unknown,,,,35125
Warner University,Lake Wales,FL,28160,28160,21007,Selective,47.79,,,753
Florida Panhandle Technical College,Chipley,FL,,,9063,Unknown,,,,201
Webber International University,Babson Park,FL,32150,32150,29932,Less selective,77.56,,,879
University of West Florida,Pensacola,FL,6360,19241,8155,Somewhat selective,56.87,,,9042
Orange Technical College-West Campus,Winter Garden,FL,,,10256,Unknown,,,,607
William T McFatter Technical College,Davie,FL,,,8919,Unknown,,,,617
Orange Technical College-East Campus,Winter Park,FL,,,22206,Unknown,,,,372
Withlacoochee Technical College,Inverness,FL,,,,Unknown,,,,262
Abraham Baldwin Agricultural College,Tifton,GA,3195,10101,6061,Less selective,77.16,,,3218
Agnes Scott College,Decatur,GA,48150,48150,24224,Somewhat selective,67.31,,,898
Interactive College of Technology-Chamblee,Chamblee,GA,11330,11330,13775,Unknown,,,,529
Albany Technical College,Albany,GA,3196,5596,4293,Unknown,,,,2214
Albany State University,Albany,GA,5934,16656,14251,Unknown,,,,5829
Andrew College,Cuthbert,GA,19126,19126,21934,Somewhat selective,51.15,,,287
Georgia Career Institute,Conyers,GA,,,16052,Unknown,,,,586
Atlanta Technical College,Atlanta,GA,3164,5564,-864,Unknown,,,,3044
Point University,West Point,GA,22300,22300,20752,Somewhat selective,67.51,,,2617
Atlanta Metropolitan State College,Atlanta,GA,3105,9731,5090,Unknown,,,,1348
Atlanta School of Massage,Atlanta,GA,,,27774,Unknown,,,,319
Clark Atlanta University,Atlanta,GA,26446,26446,35115,Somewhat selective,64.63,,,3482
Augusta Technical College,Augusta,GA,4022,7022,8509,Unknown,,,,3531
Berry College,Mount Berry,GA,40416,40416,21568,Somewhat selective,61.85,,,2213
Beulah Heights University,Atlanta,GA,8492,8492,5970,Unknown,,,,158
Brenau University,Gainesville,GA,33275,33275,20786,Less selective,86.96,,,981
Brewton-Parker College,Mount Vernon,GA,21696,21696,21983,Less selective,86.35,,,684
College of Coastal Georgia,Brunswick,GA,3483,10389,12905,Less selective,98.51,,,2794
West Georgia Technical College,Waco,GA,3122,5522,2050,Unknown,,,,4811
Clayton  State University,Morrow,GA,5068,15790,10145,Somewhat selective,70.59,,,4390
Columbus Technical College,Columbus,GA,3042,5442,4959,Unknown,,,,2668
Columbus State University,Columbus,GA,5751,16805,11889,Less selective,99.24,,,5537
Georgia Northwestern Technical College,Rome,GA,3132,5532,1432,Unknown,,,,4080
Covenant College,Lookout Mountain,GA,40464,40464,24832,Less selective,81.76,,,858
Dalton State College,Dalton,GA,3283,10189,4694,Unknown,,,,4419
South University-Savannah,Savannah,GA,18238,18238,24116,Unknown,,,,246
East Georgia State College,Swainsboro,GA,2736,9088,9380,Unknown,,,,1368
Emmanuel University,Franklin Springs,GA,23664,23664,19297,Somewhat selective,53.36,,,719
Emory University,Atlanta,GA,60774,60774,23911,Very selective,11.1,,,7275
Georgia Highlands College,Rome,GA,2944,9296,6588,Unknown,,,,4441
Fort Valley State University,Fort Valley,GA,5392,16114,11609,Somewhat selective,62.8,,,2541
Georgia Institute of Technology-Main Campus,Atlanta,GA,11764,32876,13289,Very selective,16.46,,,18260
Georgia Southwestern State University,Americus,GA,4980,15702,12052,Less selective,77.16,,,2291
Georgia College & State University,Milledgeville,GA,8998,28178,18809,Less selective,87.77,,,5599
Georgia Southern University,Statesboro,GA,5905,16959,16531,Less selective,89.63,,,21029
Georgia State University,Atlanta,GA,8478,23709,15931,Somewhat selective,62.28,,,27109
University of Georgia,Athens,GA,11180,30220,13816,Selective,37.2,,,31310
Gordon State College,Barnesville,GA,3475,10381,8918,Less selective,86.78,,,2605
Southern Crescent Technical College,Griffin,GA,3126,5526,4652,Unknown,,,,4035
Gupton Jones College of Funeral Service,Decatur,GA,21000,21000,21563,Unknown,,,,451
Gwinnett College-Lilburn,Lilburn,GA,10850,10850,27010,Unknown,,,,132
Gwinnett Technical College,Lawrenceville,GA,3356,5756,12599,Unknown,,,,7395
LaGrange College,Lagrange,GA,34540,34540,17805,Somewhat selective,63.21,,,566
Lanier Technical College,Gainesville,GA,3716,6716,5613,Unknown,,,,4147
Life University,Marietta,GA,15036,15036,30257,Less selective,93.81,,,869
Chattahoochee Technical College,Marietta,GA,3252,5652,4546,Unknown,,,,7555
Mercer University,Macon,GA,40890,40890,22350,Somewhat selective,66.46,,,4620
Morehouse College,Atlanta,GA,31725,31725,35949,Somewhat selective,51.39,,,2736
Morris Brown College,Atlanta,GA,9558,9558,18898,Unknown,,,,338
North Georgia Technical College,Clarkesville,GA,3162,5562,4361,Unknown,,,,1966
Oglethorpe University,Atlanta,GA,45806,45806,21735,Somewhat selective,60.06,,,1429
Paine College,Augusta,GA,14596,14596,15074,Less selective,83.36,,,338
Piedmont University,Demorest,GA,30680,30680,20893,Less selective,92.84,,,1235
Reinhardt University,Waleska,GA,28420,28420,27769,Somewhat selective,55.16,,,1012
Savannah Technical College,Savannah,GA,3072,5472,5821,Unknown,,,,2967
Savannah College of Art and Design,Savannah,GA,40595,40595,45450,Less selective,83.68,,,14423
Savannah State University,Savannah,GA,5498,16218,8683,Unknown,,,,2727
Shorter University,Rome,GA,24044,24044,16286,Less selective,96.93,,,1091
South Georgia Technical College,Americus,GA,3782,6782,1026,Unknown,,,,1302
Spelman College,Atlanta,GA,30058,30058,36828,Selective,34.09,,,3633
Thomas University,Thomasville,GA,11640,11640,19313,Selective,43.16,,,813
Toccoa Falls College,Toccoa Falls,GA,23250,23250,20133,Somewhat selective,63.81,,,820
Truett McConnell University,Cleveland,GA,25568,25568,22328,Less selective,90.68,,,768
Wiregrass Georgia Technical College,Valdosta,GA,3212,5612,1228,Unknown,,,,2762
Valdosta State University,Valdosta,GA,6007,17062,11298,Less selective,83.49,,,6858
Wesleyan College,Macon,GA,27650,27650,14528,Somewhat selective,62.07,,,466
University of West Georgia,Carrollton,GA,5971,17024,15450,Selective,49.37,,,7485
Young Harris College,Young Harris,GA,32305,32305,11008,Somewhat selective,64.02,,,810
Chaminade University of Honolulu,Honolulu,HI,29970,29970,28061,Less selective,92.63,,,1648
University of Hawaii at Hilo,Hilo,HI,7838,20798,12063,Less selective,89.77,,,2260
University of Hawaii at Manoa,Honolulu,HI,12186,34218,13181,Somewhat selective,69.69,,,14306
Hawaii Pacific University,Honolulu,HI,33020,33020,30557,Less selective,84.48,,,2502
Honolulu Community College,Honolulu,HI,3174,8310,6399,Unknown,,,,1897
Kapiolani Community College,Honolulu,HI,3284,8420,5194,Unknown,,,,3955
Kauai Community College,Lihue,HI,3252,8388,5724,Unknown,,,,726
Leeward Community College,Pearl City,HI,3214,8350,7636,Unknown,,,,3382
University of Hawaii Maui College,Kahului,HI,3284,8420,9421,Unknown,,,,1635
University of Hawaii-West Oahu,Kapolei,HI,7584,20544,10666,Less selective,95.6,,,2510
Windward Community College,Kaneohe,HI,3194,8330,7533,Unknown,,,,1109
Carrington College-Boise,Boise,ID,,,,Unknown,,,,433
Boise Bible College,Boise,ID,11240,11240,16884,Less selective,96.43,,,103
Boise State University,Boise,ID,8782,26976,19182,Less selective,83.96,,,17081
College of Eastern Idaho,Idaho Falls,ID,3390,6750,8728,Unknown,,,,1396
Idaho State University,Pocatello,ID,8356,27466,17324,Unknown,,,,7260
University of Idaho,Moscow,ID,8816,29784,13782,Less selective,79.09,,,7363
The College of Idaho,Caldwell,ID,36030,36030,20566,Selective,47.22,,,1049
Lewis-Clark State College,Lewiston,ID,7388,21386,12832,Less selective,89.78,,,2277
North Idaho College,Coeur d'Alene,ID,3396,8736,11481,Unknown,,,,2488
Northwest Nazarene University,Nampa,ID,39370,39370,25537,Somewhat selective,62.95,,,1138
Brigham Young University-Idaho,Rexburg,ID,4656,4656,7131,Less selective,96.95,,,42090
College of Southern Idaho,Twin Falls,ID,3360,6840,7005,Unknown,,,,3476
School of the Art Institute of Chicago,Chicago,IL,54530,54530,49822,Less selective,76.42,,,2762
Augustana College,Rock Island,IL,49834,49834,12437,Somewhat selective,67.65,,,2418
Aurora University,Aurora,IL,28220,28220,18992,Less selective,85.14,,,4021
Southwestern Illinois College,Belleville,IL,3870,6210,7210,Unknown,,,,5280
Black Hawk College,Moline,IL,4920,8100,6718,Unknown,,,,2266
Blackburn College,Carlinville,IL,26758,26758,21814,Less selective,80.14,,,341
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,,,,Unknown,,,,176
Bradley University,Peoria,IL,39680,39680,23572,Less selective,76.66,,,3865
Paul Mitchell the School-Tinley Park,Tinley Park,IL,,,14852,Unknown,,,,253
Carl Sandburg College,Galesburg,IL,5300,8810,1036,Unknown,,,,1124
Chicago State University,Chicago,IL,12754,12754,10133,Selective,40.52,,,1414
University of Chicago,Chicago,IL,66939,66939,18967,Extremely selective,4.79,,,7540
City Colleges of Chicago-Kennedy-King College,Chicago,IL,4380,14430,4902,Unknown,,,,1564
City Colleges of Chicago-Malcolm X College,Chicago,IL,4380,14430,3729,Unknown,,,,5847
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,4380,14430,5749,Unknown,,,,1425
City Colleges of Chicago-Harry S Truman College,Chicago,IL,4380,14430,3816,Unknown,,,,2248
City Colleges of Chicago-Richard J Daley College,Chicago,IL,4380,14430,3166,Unknown,,,,2540
City Colleges of Chicago-Harold Washington College,Chicago,IL,4380,14430,2974,Unknown,,,,4146
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,4380,14430,2651,Unknown,,,,4186
Columbia College Chicago,Chicago,IL,32520,32520,26788,Less selective,91.17,,,6294
Concordia University-Chicago,River Forest,IL,36258,36258,16774,Less selective,93.36,,,1337
Danville Area Community College,Danville,IL,5300,9200,2943,Unknown,,,,1360
Tricoci University of Beauty Culture,Urbana,IL,,,15024,Unknown,,,,171
