unitid,applications,admitted,enrolled,acceptance_rate,sat_verbal_25,sat_verbal_75,sat_math_25,sat_math_75,sat_total_25,sat_total_75,act_composite_25,act_composite_75,act_english_25,act_english_75,act_math_25,act_math_75,selectivity_tier,test_policy,financial_aid_policy,gpa_average
106342,2522,1653.0,237.0,0.6554321966693101,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5583750488852295
106397,28186,20202.0,6337.0,0.7167388064996807,530.0,620.0,520.0,600.0,1050.0,1220.0,21.0,28.0,21.0,28.0,19.0,26.0,Less Selective,Required,Need-blind,3.487219123220723
106412,3792,2182.0,411.0,0.57542194092827,430.0,528.0,450.0,520.0,880.0,1048.0,14.0,18.0,17.0,22.0,15.0,17.0,Less Selective,Required,Need-blind,3.275852619799029
106458,8019,5587.0,1660.0,0.6967202893128819,510.0,590.0,520.0,590.0,1030.0,1180.0,19.0,25.0,19.0,27.0,17.0,25.0,Less Selective,Required,Need-blind,3.024367392110771
106467,4904,4722.0,1467.0,0.9628874388254486,480.0,580.0,460.0,570.0,940.0,1150.0,17.0,24.0,16.0,25.0,16.0,24.0,Less Selective,Required,Need-blind,3.039746649326563
106704,6589,5961.0,1737.0,0.9046896342388829,490.0,570.0,450.0,550.0,940.0,1120.0,19.0,25.0,19.0,26.0,17.0,24.0,Less Selective,Required,Need-blind,3.1308768836176255
106713,302,140.0,104.0,0.46357615894039733,435.0,570.0,490.0,575.0,925.0,1145.0,17.0,22.0,16.0,21.0,16.0,22.0,Selective,Required,Need-blind,3.7240649108908928
107044,2202,2202.0,864.0,1.0,530.0,650.0,520.0,630.0,1050.0,1280.0,21.0,28.0,21.0,30.0,18.0,26.0,Less Selective,Required,Need-blind,3.4424122649968583
107071,1814,1486.0,306.0,0.8191841234840133,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.501086868689331
107080,2616,1386.0,275.0,0.5298165137614679,605.0,695.0,580.0,690.0,1185.0,1385.0,26.0,31.0,25.0,34.0,24.0,28.0,Less Selective,Required,Need-blind,3.2990436284624916
107141,1545,1045.0,384.0,0.6763754045307443,590.0,675.0,540.0,670.0,1130.0,1345.0,21.0,30.0,21.0,31.0,20.0,27.0,Less Selective,Required,Need-blind,3.477591748987682
107512,2138,1465.0,469.0,0.6852198316183349,530.0,660.0,530.0,630.0,1060.0,1290.0,21.0,28.0,21.0,30.0,19.0,26.0,Less Selective,Required,Need-blind,3.593977531977955
107558,1916,1114.0,188.0,0.581419624217119,510.0,580.0,508.0,583.0,1018.0,1163.0,18.0,23.0,17.0,23.0,17.0,21.0,Less Selective,Required,Need-blind,3.2212732833669944
107585,930,930.0,484.0,1.0,,,,,,,17.0,22.0,16.0,22.0,16.0,21.0,Less Selective,Required,Need-blind,3.5949832177673837
107877,1014,597.0,128.0,0.5887573964497042,460.0,540.0,460.0,518.0,920.0,1058.0,16.0,22.0,15.0,23.0,15.0,21.0,Less Selective,Required,Need-blind,3.0127522199879198
107983,2936,1955.0,797.0,0.6658719346049047,460.0,590.0,460.0,590.0,920.0,1180.0,17.0,23.0,16.0,24.0,16.0,22.0,Less Selective,Required,Need-blind,3.2084541279940457
108092,2677,2181.0,886.0,0.8147179678744864,,,,,,,18.0,23.0,18.0,24.0,17.0,24.0,Less Selective,Required,Need-blind,3.311983189286422
108852,155,139.0,55.0,0.896774193548387,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.382078751452271
109651,1339,1004.0,322.0,0.7498132935026139,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.169638264202447
109785,3850,3060.0,420.0,0.7948051948051948,512.0,657.0,482.0,657.0,994.0,1314.0,18.0,26.0,20.0,28.0,16.0,25.0,Less Selective,Required,Need-blind,3.100844609493713
110097,4003,2405.0,753.0,0.6007994004496627,580.0,690.0,550.0,670.0,1130.0,1360.0,24.0,30.0,24.0,33.0,22.0,27.0,Less Selective,Required,Need-blind,3.0291639218835416
110361,7935,5838.0,1282.0,0.7357277882797731,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5448983068199285
110370,3661,2687.0,186.0,0.7339524720021852,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.3386693261299185
110404,13107,412.0,266.0,0.03143358510719463,,,,,,,,,,,,,Elite,Test-optional,Need-blind,3.912162241671636
110413,5290,4702.0,575.0,0.8888468809073724,577.0,660.0,557.0,660.0,1134.0,1320.0,23.0,29.0,22.0,29.0,21.0,26.0,Less Selective,Required,Need-blind,3.0899211934159845
110422,63736,18964.0,5278.0,0.2975398518890423,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.6014737994279686
110486,13950,12303.0,1204.0,0.8819354838709678,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.125653843842414
110495,5334,5199.0,1046.0,0.9746906636670416,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.066066068707133
110510,12772,12548.0,2244.0,0.9824616348261823,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.4226479197309674
110529,45775,33737.0,4311.0,0.7370180229382851,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1739186550273333
110538,22263,20864.0,2171.0,0.9371603108296276,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.524285973024582
110547,19040,17388.0,1721.0,0.913235294117647,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1805827489825953
110556,20201,19469.0,3661.0,0.9637641700905896,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2025006591896883
110565,48591,42149.0,7070.0,0.8674240085612562,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5169941552843134
110574,13274,12851.0,994.0,0.9681331927075486,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1341528992821104
110583,79680,37547.0,5756.0,0.4712223895582329,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.7136465920013233
110592,32748,30106.0,3614.0,0.919323317454501,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5236990736166236
110608,29789,27748.0,5545.0,0.9314847762596932,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.214620377843108
110617,25994,24336.0,3884.0,0.9362160498576595,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.337576435666396
110635,125910,14677.0,6641.0,0.11656738940513064,,,,,,,,,,,,,Highly Selective,Test-optional,Need-blind,3.8978003351984114
110644,94637,39400.0,6578.0,0.416327651975443,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.6019664017048676
110653,121101,30962.0,6796.0,0.2556708862850018,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.5400026418487385
110662,145903,12736.0,6585.0,0.08729087133232354,,,,,,,,,,,,,Elite,Test-optional,Need-blind,3.9522297369747563
110671,62807,39758.0,5521.0,0.6330186125750314,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.043555852271726
110680,130771,32062.0,7005.0,0.2451766829037019,,,,,,,,,,,,,Highly Selective,Test-optional,Need-blind,3.849847201526344
110705,110871,30804.0,5043.0,0.2778364044700598,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.6608576326393405
110714,68845,43054.0,4381.0,0.6253758442878931,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1065174722048425
111081,2023,525.0,177.0,0.25951557093425603,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.529121164983841
111188,943,931.0,143.0,0.9872746553552492,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.3977571186783315
111638,184,67.0,67.0,0.3641304347826087,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.533379824531311
111948,15914,8849.0,1806.0,0.5560512756063843,630.0,710.0,620.0,720.0,1250.0,1430.0,28.0,32.0,29.0,34.0,25.0,31.0,Less Selective,Required,Need-blind,3.416146090896425
111966,985,382.0,7.0,0.38781725888324875,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.550713807216393
112075,4564,2732.0,290.0,0.5985977212971078,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.506033816025055
112084,320,201.0,9.0,0.628125,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.045591630220003
112260,5799,645.0,321.0,0.11122607346094154,710.0,770.0,740.0,790.0,1450.0,1560.0,33.0,35.0,34.0,35.0,30.0,34.0,Highly Selective,Required,Need-blind,3.7636549986236734
112394,306,157.0,55.0,0.5130718954248366,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1501924106666808
113698,2011,1923.0,250.0,0.9562406762804575,525.0,673.0,545.0,618.0,1070.0,1291.0,22.0,30.0,20.0,29.0,23.0,28.0,Less Selective,Required,Need-blind,3.5569017237770866
114354,412,171.0,48.0,0.41504854368932037,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.5341847843175307
114813,1516,872.0,207.0,0.575197889182058,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.289251203624526
115409,4792,626.0,224.0,0.13063439065108515,720.0,770.0,760.0,790.0,1480.0,1560.0,34.0,36.0,34.0,36.0,33.0,36.0,Highly Selective,Required,Need-blind,3.7119866194104354
